name,length,GC,coverage,phylum
scaffold147_size70760,70760,0.4067,76.5843273036,Mollusca
scaffold148_size70678,70678,0.419,74.5552364243,Arthropoda
scaffold149_size70455,70455,0.4453,88.1199489035,Acidobacteria
scaffold151_size70127,70127,0.4254,76.2596859982,Arthropoda
scaffold152_size70078,70078,0.4305,69.1902166158,Proteobacteria
scaffold153_size69966,69966,0.5603,1.44608809994,Cyanobacteria
scaffold154_size69776,69776,0.4391,77.8784539097,Arthropoda
scaffold155_size69759,69759,0.412,81.3428804886,Echinodermata
scaffold156_size69691,69691,0.4023,78.4366560961,Chordata
scaffold157_size69596,69596,0.4294,73.8749497097,Arthropoda
scaffold159_size69294,69294,0.4528,152.005844662,Arthropoda
scaffold161_size68824,68824,0.3781,0.00441706381495,Bacteroidetes
scaffold162_size68776,68776,0.5598,1.11847155985,Chloroflexi
scaffold163_size68461,68461,0.4613,119.176567681,Echinodermata
scaffold165_size67758,67758,0.6348,0.521325895097,Proteobacteria
scaffold166_size94641,94641,0.434,78.1111756997,Chordata
scaffold167_size67546,67546,0.542,0.861664643354,Chloroflexi
scaffold169_size67251,67251,0.5585,0.693298240918,Bacteroidetes
scaffold170_size67002,67002,0.5572,0.497776185785,Cyanobacteria
scaffold171_size66953,66953,0.4427,105.984735561,Tardigrada
scaffold173_size66825,66825,0.5522,1.42069584736,Chloroflexi
scaffold174_size66636,66636,0.4339,119.104665996,Arthropoda
scaffold175_size66585,66585,0.4536,74.5420139671,Mollusca
scaffold176_size66574,66574,0.4366,172.049343588,Nematoda
scaffold177_size66573,66573,0.4491,110.711204242,Nematoda
scaffold180_size65781,65781,0.4305,75.2842310089,Chordata
scaffold181_size65723,65723,0.4368,73.1902073855,Arthropoda
scaffold182_size65465,65465,0.4227,111.6011151,Arthropoda
scaffold183_size65416,65416,0.4165,69.3437079614,Arthropoda
scaffold184_size65293,65293,0.4397,78.4410580001,Arthropoda
scaffold186_size64746,64746,0.5596,0.972507954159,Chloroflexi
scaffold187_size82271,82271,0.4415,108.583923861,Bacteroidetes
scaffold188_size64570,64570,0.4628,70.3958184915,Arthropoda
scaffold189_size64484,64484,0.4161,76.7042212021,Proteobacteria
scaffold190_size64481,64481,0.4543,105.442874645,Chordata
scaffold192_size64333,64333,0.552,1.02040943217,Actinobacteria
scaffold194_size63856,63856,0.4224,74.7056502129,Arthropoda
scaffold195_size63650,63650,0.4632,105.495616654,Nematoda
scaffold196_size63487,63487,0.397,76.3999086428,Cnidaria
scaffold198_size62889,62889,0.381,2.59026220802,Bacteroidetes
scaffold199_size62883,62883,0.4447,120.810171271,Chordata
scaffold200_size62844,62844,0.4508,74.0404175419,Arthropoda
scaffold201_size62785,62785,0.4431,70.7632883349,Chordata
scaffold202_size62635,62635,0.4514,92.6730901253,Arthropoda
scaffold204_size62504,62504,0.4354,121.511135287,Arthropoda
scaffold205_size62308,62308,0.424,73.4266225846,Streptophyta
scaffold206_size62200,62200,0.4316,73.7160289389,Chordata
scaffold208_size62102,62102,0.4101,76.6599948472,Arthropoda
scaffold209_size62046,62046,0.4112,91.7676240208,Echinodermata
scaffold210_size61735,61735,0.4366,4.6226289787,Bacteroidetes
scaffold212_size61192,61192,0.4506,75.5030396131,Chordata
scaffold213_size61093,61093,0.3961,78.5333180561,Arthropoda
scaffold214_size61030,61030,0.4561,74.1716532852,Arthropoda
scaffold215_size60928,60928,0.4414,84.2921152836,Mollusca
scaffold216_size60741,60741,0.4348,75.5079929536,Arthropoda
scaffold217_size60726,60726,0.3972,0.147613872147,Bacteroidetes
scaffold218_size60537,60537,0.4307,76.8377355996,Nematoda
scaffold220_size60095,60095,0.4551,79.1149346868,Chordata
scaffold221_size59910,59910,0.4157,70.5295276247,Arthropoda
scaffold222_size59556,59556,0.4088,71.7760091343,Arthropoda
scaffold225_size59419,59419,0.4486,72.592605059,Arthropoda
scaffold226_size59296,59296,0.4126,84.0814220183,Chordata
scaffold227_size59193,59193,0.4616,70.2139273226,Arthropoda
scaffold228_size59162,59162,0.4671,108.781075691,Chordata
scaffold229_size59153,59153,0.4481,135.174226159,Chordata
scaffold230_size58782,58782,0.41,75.4305739852,Arthropoda
scaffold231_size58701,58701,0.4323,77.6091378341,Chordata
scaffold232_size58605,58605,0.4366,69.0371981913,Bacteroidetes
scaffold233_size58574,58574,0.4074,0.0267012667737,Bacteroidetes
scaffold234_size58547,58547,0.6219,0.237057406869,Proteobacteria
scaffold235_size58060,58060,0.427,103.91958319,Arthropoda
scaffold236_size57965,57965,0.4308,85.8555507634,Chordata
scaffold237_size57804,57804,0.4049,0.449726662515,Bacteroidetes
scaffold238_size57744,57744,0.4232,70.1398586866,Chordata
scaffold240_size57699,57699,0.4165,71.0276087974,Chordata
scaffold241_size57589,57589,0.4342,120.789595235,Arthropoda
scaffold242_size57548,57548,0.4954,0.203777715994,Cyanobacteria
scaffold243_size57441,57441,0.4708,96.0015668251,Chordata
scaffold244_size57352,57352,0.4555,62.7880283164,Proteobacteria
scaffold246_size57261,57261,0.4476,69.8726532893,Chordata
scaffold247_size57249,57249,0.4354,68.8203462069,Bacteroidetes
scaffold248_size57140,57140,0.4328,3.58580679034,Bacteroidetes
scaffold249_size77345,77345,0.3944,60.4595513608,Arthropoda
scaffold250_size72059,72059,0.437,128.142646998,Chordata
scaffold251_size56944,56944,0.4269,103.330886485,Chordata
scaffold252_size56922,56922,0.408,115.244404624,Chordata
scaffold253_size56769,56769,0.4242,71.4074054501,Arthropoda
scaffold254_size56757,56757,0.4119,83.8083232025,Firmicutes
scaffold255_size56745,56745,0.431,75.9697770729,Arthropoda
scaffold256_size56640,56640,0.6154,9.91112288135,Proteobacteria
scaffold257_size56491,56491,0.481,109.118213521,Chordata
scaffold258_size56471,56471,0.4254,81.1459333109,Basidiomycota
scaffold259_size56411,56411,0.4722,75.1918065626,Arthropoda
scaffold260_size56374,56374,0.4483,118.181927839,Chordata
scaffold261_size56334,56334,0.4126,74.8636169986,Chordata
scaffold262_size56234,56234,0.4303,62.1148771206,Arthropoda
scaffold264_size70290,70290,0.4213,82.3383269313,Arthropoda
scaffold266_size55943,55943,0.4251,75.7162647695,Arthropoda
scaffold267_size55804,55804,0.4559,87.9411501174,Chordata
scaffold268_size55517,55517,0.4119,110.715924852,Arthropoda
scaffold269_size55502,55502,0.4273,78.6697596483,Chordata
scaffold270_size55412,55412,0.4182,117.888165018,Arthropoda
scaffold271_size55404,55404,0.4312,87.5748992973,Chordata
scaffold272_size55360,55360,0.6263,7.64474349711,Proteobacteria
scaffold273_size62921,62921,0.4575,73.6435848127,Arthropoda
scaffold276_size55076,55076,0.4477,117.488906239,Arthropoda
scaffold277_size55065,55065,0.4287,6.95814037955,Bacteroidetes
scaffold279_size55024,55024,0.4432,124.667472376,Nematoda
scaffold280_size55002,55002,0.4694,92.9115668521,Chordata
scaffold281_size54939,54939,0.4357,76.9013087243,Arthropoda
scaffold282_size54697,54697,0.6283,0.344424739931,Proteobacteria
scaffold283_size54662,54662,0.4474,56.0129596749,Chordata
scaffold284_size54511,54511,0.3969,61.8033791344,Arthropoda
scaffold285_size54483,54483,0.4357,105.708477874,Chordata
scaffold286_size54446,54446,0.4029,82.524685009,Arthropoda
scaffold287_size54410,54410,0.5506,0.907866201066,Proteobacteria
scaffold288_size54204,54204,0.4555,87.644325142,Chordata
scaffold289_size54158,54158,0.3956,61.282746778,Arthropoda
scaffold290_size54139,54139,0.476,72.4748521804,Chordata
scaffold291_size54117,54117,0.4349,70.6291738271,Arthropoda
scaffold292_size54081,54081,0.4394,78.263271759,Annelida
scaffold293_size54036,54036,0.4766,89.6758457324,Arthropoda
scaffold294_size54001,54001,0.456,120.813670117,Chordata
scaffold295_size53965,53965,0.4843,69.698878903,Arthropoda
scaffold296_size53940,53940,0.4619,144.93802373,Chordata
scaffold297_size53791,53791,0.4511,119.369374059,Arthropoda
scaffold299_size53752,53752,0.4177,71.3740698021,Chordata
scaffold300_size53387,53387,0.4079,73.0962031956,Basidiomycota
scaffold301_size53378,53378,0.4232,87.4474127918,Ascomycota
scaffold302_size66504,66504,0.4701,71.6781861676,Arthropoda
scaffold303_size53230,53230,0.4581,74.4528649258,Arthropoda
scaffold306_size52563,52563,0.4586,74.5327131251,Arthropoda
scaffold308_size52495,52495,0.4387,3.7060672445,Bacteroidetes
scaffold309_size52076,52076,0.3988,0.212497119594,Bacteroidetes
scaffold310_size51905,51905,0.4437,75.550293806,Arthropoda
scaffold311_size51900,51900,0.45,68.549460501,Chordata
scaffold312_size51846,51846,0.4347,69.6206071828,Chordata
scaffold313_size51638,51638,0.4317,66.797842674,Arthropoda
scaffold314_size51596,51596,0.4426,78.1221412513,Arthropoda
scaffold315_size51468,51468,0.4418,85.4269060387,Arthropoda
scaffold316_size51277,51277,0.4448,119.601536751,Arthropoda
scaffold317_size65181,65181,0.4188,77.3136269311,Nematoda
scaffold319_size71015,71015,0.4599,84.1838766458,Arthropoda
scaffold320_size51109,51109,0.4323,79.1532019801,Arthropoda
scaffold321_size51054,51054,0.6313,0.165119285462,Proteobacteria
scaffold322_size50981,50981,0.4402,134.966732704,Arthropoda
scaffold323_size50895,50895,0.4373,73.8738775911,Arthropoda
scaffold324_size58126,58126,0.4727,76.8830987854,Arthropoda
scaffold326_size50720,50720,0.4415,107.055973975,Arthropoda
scaffold327_size50720,50720,0.4419,77.7689225728,Chordata
scaffold328_size50684,50684,0.4592,85.6778273222,Arthropoda
scaffold329_size50614,50614,0.4408,93.7678112775,Basidiomycota
scaffold330_size50598,50598,0.5463,1.30054547611,Cyanobacteria
scaffold331_size50517,50517,0.5621,2.24381891244,Firmicutes
scaffold332_size50444,50444,0.4309,67.7497819365,Chordata
scaffold333_size50426,50426,0.4387,135.523063499,Arthropoda
scaffold334_size50419,50419,0.443,65.1725539975,Echinodermata
scaffold335_size50389,50389,0.4468,81.0156383338,Arthropoda
scaffold336_size50341,50341,0.4492,93.3762340836,Chordata
scaffold337_size50279,50279,0.4231,75.8201038208,Proteobacteria
scaffold339_size50193,50193,0.4636,69.3185703185,Nematoda
scaffold341_size49914,49914,0.4316,80.5511079055,Arthropoda
scaffold342_size49858,49858,0.464,57.5151430062,Chordata
scaffold343_size49806,49806,0.4175,153.186122154,Bacteroidetes
scaffold344_size49752,49752,0.4145,80.4206263064,Chordata
scaffold345_size49710,49710,0.415,0.457050895193,Bacteroidetes
scaffold346_size49604,49604,0.466,75.9191395856,Arthropoda
scaffold347_size49578,49578,0.4256,70.2437573116,Chordata
scaffold349_size49337,49337,0.4138,80.4310963374,Arthropoda
scaffold350_size49246,49246,0.4652,93.7847947042,Arthropoda
scaffold351_size49227,49227,0.427,66.7981392326,Chordata
scaffold352_size49224,49224,0.4435,74.9649967496,Arthropoda
scaffold355_size49148,49148,0.4416,65.2001098722,Mollusca
scaffold356_size49113,49113,0.4628,65.1374585141,Chordata
scaffold358_size62960,62960,0.4271,81.6499960233,Arthropoda
scaffold359_size48907,48907,0.4656,66.6674913612,Arthropoda
scaffold361_size48868,48868,0.4428,75.3324056642,Chordata
scaffold362_size48780,48780,0.4241,95.3567063166,Arthropoda
scaffold363_size48641,48641,0.4251,80.0431805564,Nematoda
scaffold364_size48588,48588,0.4458,73.3592450811,Chordata
scaffold366_size48478,48478,0.4296,74.4555881018,Chordata
scaffold367_size48408,48408,0.3982,65.0296232028,Nematoda
scaffold368_size48377,48377,0.4264,65.8581557351,Arthropoda
scaffold369_size48270,48270,0.4687,77.2708514605,Arthropoda
scaffold370_size48240,48240,0.4476,76.9166666666,Chordata
scaffold371_size48235,48235,0.4351,64.5729242252,Proteobacteria
scaffold372_size48214,48214,0.4789,69.9280084623,Arthropoda
scaffold373_size48188,48188,0.4422,112.253195816,Arthropoda
scaffold374_size48149,48149,0.4662,105.424162496,Chordata
scaffold376_size48110,48110,0.4277,78.632779048,Echinodermata
scaffold378_size47917,47917,0.3991,59.2352818415,Nematoda
scaffold379_size47839,47839,0.4411,108.729321265,Arthropoda
scaffold380_size47716,47716,0.4061,0.589383016179,Bacteroidetes
scaffold381_size47699,47699,0.4311,77.393035035,Arthropoda
scaffold382_size47613,47613,0.4671,60.1653119947,Arthropoda
scaffold383_size47609,47609,0.4674,79.0925665315,Arthropoda
scaffold384_size47542,47542,0.4172,68.7419755164,Chordata
scaffold386_size47478,47478,0.447,108.071675302,Chordata
scaffold387_size47458,47458,0.4238,69.9773062498,Arthropoda
scaffold388_size47329,47329,0.4625,76.3784149252,Arthropoda
scaffold389_size47268,47268,0.4792,79.4542608107,Arthropoda
scaffold390_size47240,47240,0.4746,60.941553768,Arthropoda
scaffold391_size47108,47108,0.5458,0.531226118705,Bacteria-undef
scaffold392_size47066,47066,0.4418,92.8522075383,Echinodermata
scaffold393_size57437,57437,0.4611,60.9410658635,Arthropoda
scaffold394_size46976,46976,0.4715,112.375042575,Arthropoda
scaffold395_size46953,46953,0.4161,3.92716120376,Bacteroidetes
scaffold396_size46856,46856,0.4459,93.4718285812,Chordata
scaffold397_size46823,46823,0.3906,0.0485231616941,Bacteroidetes
scaffold398_size46720,46720,0.4529,69.4379494863,Arthropoda
scaffold399_size46665,46665,0.4397,68.6927033107,Chordata
scaffold400_size46649,46649,0.4152,78.4360865185,Eukaryota-undef
scaffold401_size46594,46594,0.4267,54.0240588917,Arthropoda
scaffold402_size46583,46583,0.4301,83.5266942876,Hemichordata
scaffold403_size46502,46502,0.4662,0.291277794503,Firmicutes
scaffold404_size46442,46442,0.5357,1.43256104388,Chloroflexi
scaffold405_size46385,46385,0.4149,74.6624124177,Chordata
scaffold406_size46217,46217,0.4791,1.05212367743,Proteobacteria
scaffold407_size46196,46196,0.568,1.09256212659,Firmicutes
scaffold408_size46192,46192,0.4123,71.0595124698,Eukaryota-undef
scaffold409_size46131,46131,0.4678,79.7867160911,Arthropoda
scaffold410_size46119,46119,0.4643,103.448275114,Chordata
scaffold411_size46082,46082,0.4701,69.3684301897,Mollusca
scaffold412_size46017,46017,0.4091,75.0555012277,Arthropoda
scaffold413_size45982,45982,0.4265,99.0816623896,Arthropoda
scaffold415_size45958,45958,0.4667,89.648331085,Arthropoda
scaffold416_size45876,45876,0.4497,66.2530517045,Arthropoda
scaffold418_size45843,45843,0.432,91.859651419,Arthropoda
scaffold419_size45809,45809,0.5486,1.28920081207,Firmicutes
scaffold420_size45631,45631,0.6031,0.159387258662,Proteobacteria
scaffold421_size45531,45531,0.4503,64.0889723485,Arthropoda
scaffold422_size45522,45522,0.4745,70.5672202452,Chordata
scaffold423_size45505,45505,0.4567,65.9158334248,Chordata
scaffold424_size45478,45478,0.455,82.562381811,Mollusca
scaffold425_size80300,80300,0.4721,65.6706947888,Chordata
scaffold426_size45418,45418,0.4439,116.226848386,Annelida
scaffold427_size45248,45248,0.4371,62.0066964285,Echinodermata
scaffold428_size45244,45244,0.4409,107.261758465,Arthropoda
scaffold429_size45171,45171,0.4427,77.7353833212,Arthropoda
scaffold433_size45040,45040,0.4771,105.506993783,Arthropoda
scaffold434_size44970,44970,0.4565,0.205136757838,Cyanobacteria
scaffold436_size44832,44832,0.5587,0.714333511777,Firmicutes
scaffold438_size44792,44792,0.4367,80.3743972137,Arthropoda
scaffold439_size44774,44774,0.4517,73.5345066333,Eukaryota-undef
scaffold441_size44689,44689,0.4127,70.0645348968,Chordata
scaffold442_size44653,44653,0.4268,77.6788569637,Arthropoda
scaffold443_size44618,44618,0.4583,103.803330494,Arthropoda
scaffold444_size44550,44550,0.425,73.734298541,Arthropoda
scaffold445_size44486,44486,0.462,66.3967765139,Arthropoda
scaffold446_size44484,44484,0.5518,1.14393939394,Chloroflexi
scaffold447_size44473,44473,0.4402,107.9701167,Eukaryota-undef
scaffold448_size44447,44447,0.4544,132.358741872,Chordata
scaffold449_size44430,44430,0.4585,84.0278865631,Nematoda
scaffold450_size44390,44390,0.5041,0.712029736426,Chloroflexi
scaffold451_size44382,44382,0.4147,84.6043666351,Arthropoda
scaffold452_size44328,44328,0.4255,73.1735923119,Arthropoda
scaffold454_size44308,44308,0.4545,94.8852577413,Chordata
scaffold455_size44244,44244,0.3742,0.00447518307567,Bacteroidetes
scaffold456_size44183,44183,0.5475,0.910055903854,Chloroflexi
scaffold457_size44174,44174,0.413,75.3666410105,Arthropoda
scaffold458_size44142,44142,0.4621,94.7815693473,Arthropoda
scaffold459_size44129,44129,0.4582,98.1169978925,Arthropoda
scaffold460_size44116,44116,0.3972,73.2613790915,Arthropoda
scaffold461_size44096,44096,0.4337,75.2448748186,Arthropoda
scaffold462_size44087,44087,0.4254,88.1586862341,Mollusca
scaffold463_size44079,44079,0.4689,75.3180652919,Arthropoda
scaffold464_size44046,44046,0.4206,100.019456931,Arthropoda
scaffold465_size44028,44028,0.4475,69.9263423276,Arthropoda
scaffold466_size43984,43984,0.4277,62.3062022553,Echinodermata
scaffold467_size43906,43906,0.6048,0.146358128729,Proteobacteria
scaffold468_size43774,43774,0.3892,78.6704207978,Arthropoda
scaffold469_size43759,43759,0.4212,71.8725976371,Mollusca
scaffold470_size43722,43722,0.425,79.2272311423,Chordata
scaffold471_size43701,43701,0.442,102.560310305,Arthropoda
scaffold472_size43685,43685,0.406,131.848620808,Hemichordata
scaffold473_size43649,43649,0.4413,81.8801347109,Arthropoda
scaffold474_size43642,43642,0.563,0.921062279455,Chloroflexi
scaffold475_size43568,43568,0.4719,99.4849201249,Arthropoda
scaffold476_size43562,43562,0.6234,0.321013727561,Verrucomicrobia
scaffold477_size43553,43553,0.472,73.6668426974,Ascomycota
scaffold480_size43373,43373,0.4129,66.5807068914,Chordata
scaffold481_size43348,43348,0.5707,1.10219617975,Chloroflexi
scaffold482_size43338,43338,0.47,69.0305505561,Chordata
scaffold483_size43325,43325,0.4776,75.2458165032,Chordata
scaffold484_size43292,43292,0.3809,0.11309248822,Bacteroidetes
scaffold485_size43227,43227,0.4096,67.8115298309,Arthropoda
scaffold486_size43151,43151,0.4164,58.2198095062,Chordata
scaffold487_size43144,43144,0.4299,72.0450352309,Arthropoda
scaffold489_size55492,55492,0.4115,67.2920601168,Mollusca
scaffold490_size43060,43060,0.4021,0.0447515095216,Bacteroidetes
scaffold491_size43028,43028,0.419,62.3010365344,Arthropoda
scaffold492_size43014,43014,0.4505,70.5457060492,Chordata
scaffold493_size42940,42940,0.4332,1.37249650675,Bacteroidetes
scaffold494_size42919,42919,0.4551,92.8243668306,Arthropoda
scaffold495_size42901,42901,0.4051,0.0293932542365,Bacteroidetes
scaffold496_size42885,42885,0.4534,76.3526407836,Chordata
scaffold498_size42746,42746,0.4268,77.7989285547,Chordata
scaffold499_size42720,42720,0.4467,110.314981273,Mollusca
scaffold501_size42665,42665,0.4339,65.7960154693,Arthropoda
scaffold503_size42642,42642,0.4246,87.5521317011,Chordata
scaffold505_size42588,42588,0.4657,97.7138395793,Ascomycota
scaffold506_size42540,42540,0.4715,91.4537376586,Arthropoda
scaffold507_size42530,42530,0.4692,69.7405125794,Chordata
scaffold508_size42517,42517,0.4354,114.857515817,Chordata
scaffold509_size42512,42512,0.433,72.8930184418,Chordata
scaffold510_size42261,42261,0.4586,79.2872624879,Nematoda
scaffold511_size42261,42261,0.3985,73.4827618845,Nematoda
scaffold512_size42255,42255,0.4214,66.3487397941,Porifera
scaffold513_size51255,51255,0.4626,78.6490414711,Arthropoda
scaffold514_size42194,42194,0.459,92.6599042517,Chordata
scaffold517_size42061,42061,0.5508,0.966287059271,Chloroflexi
scaffold518_size48562,48562,0.4679,72.8463407603,Chordata
scaffold519_size41923,41923,0.4165,82.0503780741,Arthropoda
scaffold520_size41917,41917,0.3997,0.145907388411,Bacteroidetes
scaffold521_size41916,41916,0.424,74.2488548526,Eukaryota-undef
scaffold522_size41899,41899,0.3902,0.0229122413423,Bacteroidetes
scaffold523_size41827,41827,0.4368,67.0259640902,Bacteroidetes
scaffold524_size41825,41825,0.4565,74.0736162583,Arthropoda
scaffold525_size41772,41772,0.4496,92.3500670306,Chordata
scaffold526_size41741,41741,0.4402,76.9584101962,Arthropoda
scaffold527_size41679,41679,0.4427,104.933755608,Platyhelminthes
scaffold529_size60542,60542,0.4577,77.9672182691,Hemichordata
scaffold530_size41601,41601,0.4699,107.662003317,Arthropoda
scaffold531_size41595,41595,0.4364,90.362759947,Arthropoda
scaffold532_size41540,41540,0.4599,67.400914781,Chordata
scaffold533_size41490,41490,0.4502,89.6016389491,Chordata
scaffold534_size50416,50416,0.4511,95.3459615995,Chordata
scaffold535_size41408,41408,0.4755,63.4940903488,Chordata
